ID do Frame,Quadril Esquerdo,Joelho Esquerdo,Tornozelo Esquerdo,Ângulo
0,"[0.4590083956718445, 0.528923511505127]","[0.4868641793727875, 0.6820615530014038]","[0.5109731554985046, 0.8489678502082825]",177.90993155007828
1,"[0.45905357599258423, 0.5270830988883972]","[0.4864659905433655, 0.6829233169555664]","[0.5109509229660034, 0.845885157585144]",178.5684302916172
2,"[0.459442138671875, 0.5262055397033691]","[0.4860805571079254, 0.6830258369445801]","[0.511161744594574, 0.8437923789024353]",179.22665842332503
3,"[0.46065753698349, 0.5246308445930481]","[0.4859939515590668, 0.683121383190155]","[0.5124433636665344, 0.8421337604522705]",179.63863414882192
4,"[0.4633995592594147, 0.5241613388061523]","[0.48599347472190857, 0.6832016706466675]","[0.5137513279914856, 0.8403223752975464]",178.066740153739
5,"[0.4670855402946472, 0.5242259502410889]","[0.48844319581985474, 0.6865243911743164]","[0.516292154788971, 0.8406909704208374]",177.25715988506093
6,"[0.4712313115596771, 0.5244892835617065]","[0.49204665422439575, 0.6898412704467773]","[0.5184823274612427, 0.8410148024559021]",177.2559375505636
7,"[0.47580838203430176, 0.524660050868988]","[0.49490389227867126, 0.6909658312797546]","[0.5194560289382935, 0.8418775796890259]",177.30950834680982
8,"[0.4801653027534485, 0.5246962904930115]","[0.49770432710647583, 0.6913710236549377]","[0.5199258923530579, 0.8406773805618286]",177.54176717872457
9,"[0.4838515818119049, 0.5244007110595703]","[0.49906715750694275, 0.6912122368812561]","[0.520474910736084, 0.8410786986351013]",177.08231523310317
10,"[0.48842301964759827, 0.5235766768455505]","[0.5014411211013794, 0.6910932660102844]","[0.5214029550552368, 0.8411926031112671]",176.868295741969
11,"[0.49347543716430664, 0.5218067765235901]","[0.5049169063568115, 0.6909827589988708]","[0.5218547582626343, 0.8412671685218811]",177.4386516862481
12,"[0.4975484311580658, 0.5207442045211792]","[0.5083485245704651, 0.6913926601409912]","[0.5229843258857727, 0.8425220847129822]",178.08990070464446
13,"[0.5011237859725952, 0.5201278924942017]","[0.5106295347213745, 0.6908736228942871]","[0.5226482152938843, 0.8410532474517822]",178.61092343710402
14,"[0.5044652223587036, 0.5184758901596069]","[0.512446939945221, 0.6893698573112488]","[0.5224665999412537, 0.8417518734931946]",178.91210856962164
